City,Area,Property_Type,Size_sqft,Bedrooms,Bathrooms,Age_Years,Facing,Highway_Distance_m,Price
Gorakhpur,Rustampur,Plot,2636,0,0,0,West,1995,10304263
Lucknow,Hazratganj,Plot,3049,0,0,0,West,1912,21031602
Gorakhpur,Taramandal,Flat,4029,1,1,14,East,1384,22618845
Gorakhpur,Taramandal,Flat,3171,2,2,17,South,3033,15630833
Lucknow,Indira Nagar,Plot,3955,0,0,0,North,3242,19743216
Lucknow,Gomti Nagar,Flat,3268,2,2,6,East,1326,23886186
Kanpur,Swaroop Nagar,Plot,1463,0,0,0,North-East,2666,5137263
Lucknow,Indira Nagar,Plot,813,0,0,0,East,4672,3564797
Gorakhpur,Shahpur,Flat,2263,4,4,17,North,1362,10345235
Lucknow,Indira Nagar,Plot,3623,0,0,0,South,3237,17338052
Gorakhpur,Rustampur,House,3410,2,2,22,North-East,4023,11136777
Banaras,Sarnath,Plot,3011,0,0,0,North,123,17229523
Banaras,Sarnath,Flat,2551,1,1,21,West,4916,9851948
Lucknow,Hazratganj,Plot,4562,0,0,0,North-East,2734,29298969
Lucknow,Gomti Nagar,Plot,3207,0,0,0,West,3452,19215566
Kanpur,Arya Nagar,Flat,3476,4,4,21,West,4427,10993487
Lucknow,Hazratganj,Flat,600,4,4,24,South,1523,5277733
Banaras,Sigra,Plot,2950,0,0,0,North,1334,16043925
Noida,Greater Noida,Flat,2234,2,2,1,South,3786,14579581
Gorakhpur,Taramandal,Flat,4260,2,2,0,West,4781,18022975
Banaras,Lanka,Plot,2609,0,0,0,South,2499,16327392
Lucknow,Indira Nagar,Flat,4394,4,4,18,West,2241,24396172
Noida,Greater Noida,House,1698,2,2,9,North-East,929,14292923
Noida,Sector 62,Flat,4908,1,1,5,North-East,3845,31255680
Kanpur,Swaroop Nagar,House,1049,5,5,5,North,3999,4829497
Gorakhpur,Shahpur,Flat,1313,1,1,13,North-East,1384,5616678
Kanpur,Kidwai Nagar,Flat,4730,2,2,0,South,4349,15027596
Noida,Sector 150,Flat,659,3,3,16,North,387,7389251
Gorakhpur,Medical Road,Flat,782,5,5,22,East,1711,4707318
Kanpur,Arya Nagar,Flat,3098,4,4,7,North-East,2185,12701353
Lucknow,Indira Nagar,Flat,4396,1,1,8,West,197,27516563
Kanpur,Arya Nagar,Plot,3910,0,0,0,West,2145,13657487
Kanpur,Kidwai Nagar,Flat,2451,5,5,21,East,2392,10399805
Gorakhpur,Shahpur,Flat,4054,4,4,1,South,883,19402514
Lucknow,Indira Nagar,Plot,4879,0,0,0,South,1606,27206280
Lucknow,Gomti Nagar,Flat,1427,3,3,24,South,4367,8285914
Banaras,Sarnath,Flat,4475,1,1,1,West,1214,23640930
Noida,Sector 62,Plot,2992,0,0,0,North-East,4543,17691400
Noida,Greater Noida,Plot,1498,0,0,0,South,4882,8811867
Gorakhpur,Taramandal,Flat,4601,2,2,24,South,3900,20647850
Gorakhpur,Taramandal,Flat,3255,1,1,1,North-East,3465,15173372
Noida,Greater Noida,House,1284,5,5,11,North-East,440,12434072
Lucknow,Indira Nagar,Plot,3649,0,0,0,North,4206,16665442
Kanpur,Kidwai Nagar,Flat,786,2,2,4,North-East,3036,3323282
Gorakhpur,Taramandal,Plot,2176,0,0,0,East,869,12547292
Gorakhpur,Taramandal,Flat,1474,3,3,16,West,1272,8905824
Gorakhpur,Rustampur,Flat,3241,3,3,18,West,2223,13564558
Noida,Sector 150,Flat,2097,2,2,8,South,1424,19510835
Kanpur,Arya Nagar,Flat,2399,4,4,6,South,1146,10819300
Lucknow,Hazratganj,House,4838,4,4,5,East,2530,32758162
Gorakhpur,Shahpur,Plot,1145,0,0,0,East,713,4954339
Banaras,Sigra,Plot,2310,0,0,0,North,4297,9753638
Lucknow,Indira Nagar,Plot,4425,0,0,0,East,3666,21071005
Noida,Sector 62,Flat,823,5,5,3,North-East,2451,7846904
Noida,Greater Noida,House,2118,5,5,10,North-East,2656,16975272
Lucknow,Indira Nagar,Flat,4781,4,4,15,East,926,28746327
Gorakhpur,Medical Road,Plot,3305,0,0,0,South,2839,12383232
Banaras,Sarnath,Plot,1058,0,0,0,South,2058,5301243
Kanpur,Swaroop Nagar,Plot,2436,0,0,0,North-East,1160,9519042
Kanpur,Arya Nagar,Plot,2499,0,0,0,North-East,95,10475503
Noida,Greater Noida,House,1460,5,5,22,North-East,1760,12327706
Lucknow,Gomti Nagar,Flat,630,2,2,8,North,4304,4082886
Lucknow,Hazratganj,Flat,3946,2,2,17,West,3539,24066520
Noida,Sector 62,House,3154,3,3,15,South,2718,22343301
Gorakhpur,Medical Road,Flat,4883,2,2,23,West,1016,20302261
Kanpur,Arya Nagar,Flat,1943,2,2,18,North-East,4284,6073545
Banaras,Sigra,Flat,2190,3,3,6,East,831,13531016
Kanpur,Kidwai Nagar,Flat,1550,2,2,11,North,801,6611803
Noida,Greater Noida,Flat,2933,4,4,23,East,3048,21230639
Lucknow,Gomti Nagar,House,2978,5,5,12,East,1825,21883949
Noida,Sector 62,Flat,1824,2,2,10,East,3630,12123520
Lucknow,Gomti Nagar,Plot,2162,0,0,0,North-East,4243,11807608
Lucknow,Hazratganj,Plot,814,0,0,0,North-East,4333,4355232
Gorakhpur,Medical Road,House,1803,4,4,11,South,1731,8655094
Lucknow,Hazratganj,Flat,3579,1,1,11,North,3794,20584207
Noida,Sector 62,Flat,3729,4,4,24,West,2295,28609458
Noida,Sector 62,Flat,2222,3,3,16,West,1961,17602852
Gorakhpur,Taramandal,Plot,2468,0,0,0,East,477,14126818
Kanpur,Swaroop Nagar,House,3769,4,4,5,North-East,2980,13804789
Banaras,Lanka,Plot,4209,0,0,0,North,1956,26744994
Banaras,Lanka,Plot,4172,0,0,0,North-East,1696,26442106
Gorakhpur,Rustampur,Plot,4268,0,0,0,West,3331,15096005
Lucknow,Gomti Nagar,Flat,3587,2,2,17,South,1233,25452694
Lucknow,Gomti Nagar,Flat,1909,3,3,10,North-East,4112,11619683
Noida,Sector 150,Plot,4237,0,0,0,East,3667,32659667
Noida,Sector 150,Flat,1597,5,5,22,West,1768,16003069
Kanpur,Kidwai Nagar,Flat,917,2,2,5,West,976,4472609
Noida,Sector 150,House,4829,3,3,9,North,2144,42190914
Kanpur,Kidwai Nagar,Plot,2757,0,0,0,East,2355,9625033
Gorakhpur,Rustampur,Plot,2209,0,0,0,South,4730,6855298
Banaras,Sigra,Flat,4855,1,1,23,East,4975,18478553
Kanpur,Swaroop Nagar,Plot,2586,0,0,0,North,3633,8005650
Lucknow,Hazratganj,Flat,2054,3,3,10,North,3005,13667230
Gorakhpur,Rustampur,Plot,3035,0,0,0,North-East,4247,9848555
Lucknow,Gomti Nagar,Plot,2627,0,0,0,North,3246,15601716
Banaras,Sarnath,Flat,1075,3,3,8,North-East,4270,5507139
Lucknow,Hazratganj,Flat,4359,1,1,22,North,2708,28122632
Banaras,Sigra,Flat,2605,4,4,4,North-East,3403,13153029
Kanpur,Arya Nagar,Plot,1649,0,0,0,South,2862,5604562
Banaras,Sarnath,Flat,890,3,3,19,North,1634,5329422
Noida,Sector 62,Plot,3062,0,0,0,North-East,95,25119262
Lucknow,Gomti Nagar,House,635,5,5,23,North-East,2164,5784773
Noida,Sector 150,Plot,830,0,0,0,East,1842,7226424
Banaras,Sigra,Flat,2381,5,5,6,North,621,15046547
Gorakhpur,Shahpur,Flat,2285,1,1,10,East,90,22112121
Banaras,Sigra,Plot,3538,0,0,0,West,2548,16563681
Noida,Sector 150,Flat,835,4,4,18,East,4660,6793938
Noida,Greater Noida,Flat,3165,3,3,0,North-East,3384,21812082
Banaras,Lanka,Flat,1390,2,2,5,North,1040,10297014
Banaras,Sigra,Flat,730,1,1,14,South,4944,2922875
Lucknow,Gomti Nagar,Plot,3442,0,0,0,West,914,24818865
Lucknow,Indira Nagar,Plot,4510,0,0,0,West,1300,25340213
Noida,Sector 62,Plot,4293,0,0,0,North,193,36509810
Lucknow,Gomti Nagar,Flat,2400,4,4,20,South,158,19364829
Banaras,Sarnath,House,4821,1,1,6,West,674,27299844
Lucknow,Indira Nagar,Plot,3813,0,0,0,East,671,22870029
Kanpur,Kidwai Nagar,Flat,1588,1,1,0,East,1474,6594339
Noida,Sector 62,Plot,3228,0,0,0,South,4173,19794263
Banaras,Sarnath,Flat,4336,5,5,2,North-East,1306,25138820
Kanpur,Kidwai Nagar,House,3336,2,2,18,North-East,1615,12780795
Kanpur,Kidwai Nagar,House,3798,4,4,1,North,1950,15250343
Banaras,Sarnath,Flat,3693,4,4,2,North-East,3728,18075540
Kanpur,Arya Nagar,Plot,2169,0,0,0,North-East,4803,6360210
Noida,Sector 62,Plot,1540,0,0,0,North-East,639,12380787
Noida,Greater Noida,Plot,1432,0,0,0,North-East,3134,9394459
Gorakhpur,Taramandal,Plot,1825,0,0,0,North,1384,10187491
Kanpur,Kidwai Nagar,Flat,1735,4,4,7,North-East,3358,7013749
Gorakhpur,Medical Road,Flat,4129,2,2,15,South,4861,13094156
Kanpur,Kidwai Nagar,Plot,1701,0,0,0,North-East,1396,6579430
Gorakhpur,Rustampur,Flat,4146,5,5,23,West,2458,17198454
Gorakhpur,Shahpur,Plot,1192,0,0,0,East,3974,3987926
Lucknow,Hazratganj,Flat,3738,1,1,9,South,2581,23516723
Lucknow,Hazratganj,Flat,1202,2,2,6,North,4057,7339635
Kanpur,Swaroop Nagar,Plot,4173,0,0,0,North,1870,15424141
Noida,Greater Noida,Plot,2871,0,0,0,East,3616,18808352
Noida,Sector 62,Plot,1238,0,0,0,South,1527,9232063
Banaras,Sigra,Flat,4286,2,2,23,East,4764,17105991
Banaras,Lanka,Flat,1043,5,5,12,West,1245,8694930
Lucknow,Indira Nagar,Plot,756,0,0,0,North,4748,3141360
Lucknow,Gomti Nagar,Flat,3695,2,2,15,North-East,3360,22967925
Noida,Sector 62,House,3057,4,4,11,North,2029,24002678
Gorakhpur,Shahpur,Flat,4102,3,3,23,North-East,1683,16644113
Gorakhpur,Rustampur,Plot,1696,0,0,0,East,4752,5344932
Noida,Sector 150,Flat,4536,1,1,0,South,4492,31279663
Noida,Greater Noida,House,3722,2,2,2,East,4496,23301612
Gorakhpur,Medical Road,Flat,1408,2,2,7,East,3186,5665881
Banaras,Sarnath,Flat,1883,5,5,3,West,3034,10672923
Banaras,Sigra,Flat,3037,2,2,21,North,1638,15558138
Banaras,Lanka,Plot,1674,0,0,0,West,2454,10385942
Banaras,Lanka,Flat,4653,2,2,2,North-East,392,34301003
Banaras,Lanka,Flat,4695,4,4,12,East,1972,31551248
Kanpur,Kidwai Nagar,Flat,4797,1,1,5,North,2621,16980478
Banaras,Sigra,Flat,4560,2,2,11,West,203,27178764
Kanpur,Arya Nagar,Plot,863,0,0,0,West,4739,2481235
Banaras,Sigra,Plot,1231,0,0,0,West,3557,5473313
Noida,Greater Noida,Flat,3184,3,3,12,East,4656,19886264
Noida,Sector 62,Flat,4480,2,2,8,North-East,2034,33025772
Noida,Greater Noida,Plot,3779,0,0,0,North,2083,27546061
Kanpur,Arya Nagar,Flat,1059,1,1,17,West,597,4178626
Gorakhpur,Taramandal,Flat,3750,2,2,18,East,4729,15503976
Lucknow,Gomti Nagar,House,3060,2,2,7,South,3866,18125201
Gorakhpur,Shahpur,Plot,1350,0,0,0,West,2259,5192849
Gorakhpur,Taramandal,Flat,1634,1,1,1,East,648,9591936
Gorakhpur,Medical Road,Plot,1028,0,0,0,West,535,4364996
Banaras,Sigra,Flat,1092,3,3,11,North-East,835,6982549
Noida,Sector 150,Flat,2169,4,4,0,North-East,4141,16828108
Noida,Sector 150,Flat,3392,3,3,17,North,2264,29740884
Kanpur,Swaroop Nagar,Plot,3136,0,0,0,North,3984,9673084
Noida,Greater Noida,Flat,3780,1,1,10,East,379,31082506
Gorakhpur,Taramandal,Flat,1846,1,1,1,West,4789,7824774
Kanpur,Arya Nagar,Plot,2890,0,0,0,North,2029,10209057
Kanpur,Kidwai Nagar,House,1541,4,4,12,South,1205,7310316
Kanpur,Arya Nagar,Flat,4979,4,4,0,North-East,2840,18489043
Gorakhpur,Shahpur,Flat,4193,2,2,16,North-East,3936,14375761
Lucknow,Hazratganj,Plot,4339,0,0,0,East,2503,27697863
Kanpur,Arya Nagar,Plot,2860,0,0,0,North-East,1031,11197198
Noida,Sector 150,House,1405,1,1,9,South,4059,10182752
Banaras,Lanka,House,2102,3,3,4,West,4967,11343270
Gorakhpur,Shahpur,House,2468,3,3,15,East,1651,11068705
Lucknow,Hazratganj,Plot,1707,0,0,0,North-East,2826,10877294
Kanpur,Kidwai Nagar,House,943,5,5,22,North,4819,3862044
Kanpur,Arya Nagar,Flat,1024,2,2,4,West,4481,3705604
Gorakhpur,Shahpur,Flat,4059,4,4,4,North-East,2163,17133179
Banaras,Sigra,Plot,2724,0,0,0,North,3983,11514709
Kanpur,Swaroop Nagar,House,4155,5,5,24,North-East,921,17585152
Lucknow,Hazratganj,House,2734,2,2,4,West,2730,17985327
Banaras,Sigra,Plot,783,0,0,0,North-East,3996,3355153
Banaras,Lanka,Flat,2360,4,4,8,East,1498,17003422
Banaras,Lanka,Flat,4714,4,4,12,South,1493,32225438
Lucknow,Indira Nagar,Plot,2557,0,0,0,North,3920,11494784
Lucknow,Hazratganj,Flat,3588,2,2,1,North,2698,24028666
Kanpur,Kidwai Nagar,Flat,3965,5,5,16,South,1759,16506977
Lucknow,Hazratganj,Flat,2428,2,2,10,West,4183,14091269
Kanpur,Kidwai Nagar,Plot,1520,0,0,0,North-East,3296,4921485
Gorakhpur,Medical Road,Flat,4995,1,1,15,North,2184,19603431
Noida,Greater Noida,House,3215,4,4,0,North,2480,25086536
Gorakhpur,Medical Road,Flat,2668,2,2,9,East,2209,10932536
Gorakhpur,Medical Road,Flat,4629,3,3,13,North,2526,17815296
Lucknow,Hazratganj,Flat,2292,3,3,1,East,875,17516144
Lucknow,Gomti Nagar,Plot,1815,0,0,0,North-East,4795,9784711
Banaras,Sigra,Flat,3584,1,1,2,North,3730,16271381
Gorakhpur,Medical Road,House,2114,4,4,20,East,3744,8341223
Lucknow,Indira Nagar,Flat,722,4,4,3,West,1342,5974585
Lucknow,Gomti Nagar,Plot,3460,0,0,0,North,402,26389992
Banaras,Sarnath,Flat,4820,2,2,1,East,2028,24905810
Lucknow,Indira Nagar,Flat,1151,3,3,18,East,4313,5732425
Lucknow,Hazratganj,House,2492,2,2,18,North,4857,12952875
Banaras,Lanka,Plot,4205,0,0,0,West,3095,24487246
Gorakhpur,Taramandal,Flat,2345,5,5,10,South,3977,11711317
Lucknow,Hazratganj,Plot,3083,0,0,0,North,4129,16724582
Kanpur,Swaroop Nagar,House,1149,4,4,17,South,852,5842822
Noida,Greater Noida,Plot,4427,0,0,0,North,4026,27210748
Gorakhpur,Rustampur,House,4385,3,3,8,West,4606,14260791
Gorakhpur,Medical Road,Flat,1305,1,1,13,North,872,5569791
Noida,Sector 150,Flat,2124,2,2,9,East,2863,18118464
Lucknow,Indira Nagar,Plot,1202,0,0,0,North-East,2003,6507876
Banaras,Sarnath,Flat,4053,5,5,15,West,3555,19067263
Lucknow,Hazratganj,Plot,4172,0,0,0,North-East,2485,26930053
Noida,Greater Noida,House,2027,3,3,10,North,292,17796423
Noida,Sector 62,Plot,723,0,0,0,North-East,4136,4428334
Lucknow,Gomti Nagar,House,2001,4,4,3,North-East,4243,12235530
Gorakhpur,Shahpur,House,1507,1,1,7,East,3377,5564189
Gorakhpur,Medical Road,Flat,4844,4,4,5,North-East,2993,18670232
Kanpur,Arya Nagar,House,1809,4,4,22,North-East,3220,6944280
Gorakhpur,Shahpur,Flat,4262,1,1,17,North-East,274,41791339
Kanpur,Kidwai Nagar,Flat,4390,4,4,11,South,811,19491358
Noida,Sector 150,Flat,4934,2,2,5,East,2092,42966340
Gorakhpur,Rustampur,Flat,721,4,4,19,South,3826,3462985
Noida,Greater Noida,Flat,4249,4,4,11,East,870,36295740
Kanpur,Kidwai Nagar,Plot,4225,0,0,0,East,3087,14302363
Gorakhpur,Taramandal,Flat,1971,1,1,24,East,4759,7724823
Noida,Greater Noida,Plot,615,0,0,0,South,4958,3544222
Kanpur,Swaroop Nagar,Flat,2748,4,4,15,East,4860,8971902
Gorakhpur,Medical Road,Flat,3352,2,2,9,South,2398,13235534
Gorakhpur,Medical Road,Flat,4250,1,1,14,North,80,41517754
Noida,Greater Noida,Flat,1490,2,2,24,East,3478,9963006
Gorakhpur,Rustampur,House,2235,2,2,12,North-East,1685,9426276
Lucknow,Indira Nagar,Plot,3318,0,0,0,North-East,4867,13687902
Gorakhpur,Medical Road,Plot,4852,0,0,0,West,721,20332338
Noida,Sector 150,Flat,3644,4,4,8,East,3542,29131271
Gorakhpur,Shahpur,House,1872,1,1,22,North,3405,6412049
Gorakhpur,Taramandal,House,1247,3,3,16,East,2371,7259378
Gorakhpur,Shahpur,Plot,1729,0,0,0,North,361,7646505
Gorakhpur,Rustampur,Flat,3237,4,4,16,North,665,15166303
Lucknow,Indira Nagar,Flat,4153,4,4,12,East,2858,22037675
Lucknow,Gomti Nagar,Flat,3893,5,5,2,East,1038,30216652
Noida,Sector 150,Flat,3015,5,5,2,North,3916,24003694
Lucknow,Gomti Nagar,Flat,4669,5,5,19,North,4050,28421573
Gorakhpur,Shahpur,Plot,3768,0,0,0,South,1875,14930275
Lucknow,Hazratganj,Plot,1014,0,0,0,North,1148,7250741
Kanpur,Swaroop Nagar,Plot,2275,0,0,0,East,547,9168251
Kanpur,Swaroop Nagar,House,2926,2,2,11,West,937,12488284
Noida,Sector 62,Flat,2894,2,2,19,West,4949,16837038
Gorakhpur,Medical Road,House,4536,4,4,16,North-East,360,21918992
Noida,Sector 62,Flat,762,4,4,7,North,1859,7235365
Kanpur,Kidwai Nagar,Flat,2477,1,1,6,West,2559,8735729
Banaras,Sigra,Flat,4458,4,4,10,North-East,4572,18705702
Noida,Sector 150,Flat,2086,1,1,13,North-East,185,20264481
Banaras,Sarnath,House,2982,1,1,11,North-East,3028,13592309
Kanpur,Kidwai Nagar,House,3734,4,4,9,West,3112,13855699
Lucknow,Gomti Nagar,Flat,1690,3,3,6,South,3610,11102283
Gorakhpur,Taramandal,Plot,2335,0,0,0,West,4869,9441325
Noida,Sector 62,Plot,2868,0,0,0,West,995,22631218
Kanpur,Swaroop Nagar,Plot,1550,0,0,0,East,4377,4653560
Kanpur,Swaroop Nagar,Flat,3957,2,2,10,East,2947,13604174
Kanpur,Swaroop Nagar,Flat,4687,2,2,12,North,3727,15332969
Noida,Sector 150,Plot,4114,0,0,0,North,2471,34589600
Noida,Sector 150,Plot,4218,0,0,0,South,879,39472214
Banaras,Sarnath,Plot,4726,0,0,0,West,172,26987821
Banaras,Sigra,House,2215,5,5,6,East,2228,13190009
Kanpur,Arya Nagar,Flat,3135,1,1,4,East,1266,12077012
Noida,Greater Noida,Flat,1505,3,3,4,East,689,13630964
Noida,Sector 150,House,1061,4,4,11,East,4848,8448273
Banaras,Sigra,House,4963,2,2,12,East,3894,21474761
Banaras,Sigra,Flat,3835,3,3,0,North-East,2170,20419286
Gorakhpur,Rustampur,Flat,4337,1,1,6,North,4414,13628587
Banaras,Sarnath,House,872,5,5,11,West,374,7086591
Noida,Sector 62,House,3992,2,2,9,South,2729,28649789
Gorakhpur,Taramandal,Plot,4916,0,0,0,South,1196,27801662
Noida,Greater Noida,Flat,3679,1,1,8,North-East,1989,27823771
